                                              TABLE_NAME                    COLUMN_NAME
318                                 RHH_FormasAccidentes             CodigoAgrAccidente
319                                 RHH_FormasAccidentes                  CodigoEmpresa
320                                 RHH_FormasAccidentes           CodigoFormaAccidente
321                                 RHH_FormasAccidentes             DescFormaAccidente
322                                 RHH_FormasAccidentes             TipoFormaAccidente
323                     HistoricoCabeceraContratoCliente                    RazonSocial
324                     HistoricoCabeceraContratoCliente                   RazonSocial2
325                     HistoricoCabeceraContratoCliente             RazonSocial2Envios
326                     HistoricoCabeceraContratoCliente              RazonSocialEnvios
327                              AntiguedadSaldosCliente                    RazonSocial
328                             LcVw_HorasPorTecnico_PSV                    RazonSocial
329                           CabeceraAlbaranCliente_Bak                    RazonSocial
330                           CabeceraAlbaranCliente_Bak                   RazonSocial2
331                           CabeceraAlbaranCliente_Bak             RazonSocial2Envios
332                           CabeceraAlbaranCliente_Bak              RazonSocialEnvios
333                    CEN_PowerBi_LineasPedVen_Vendedor                    RazonSocial
334            CEN_PowerBI_KPI_Entregas_a_tiempo_cliente                    RazonSocial
335                                         NOM_TmpPerte            RazonSocialEmpleado
336          CEN_PowerBI_KPI_Entregas_a_tiempo_proveedor                    RazonSocial
337        TMP_EI_TmpIME_AEL_RetFlexible_20250403_173530            RazonSocialEmpleado
338                                  PowerBi_CarteraCoPa                    RazonSocial
339                           TemporalNomDuplicEmpleados            RazonSocialEmpleado
340                                     PlataformasEnvio                         Activa
341                                     PlataformasEnvio                AlmacenarGesDoc
342                                     PlataformasEnvio                  CodigoEmpresa
343                                     PlataformasEnvio               ComunicarFaceB2B
344                                     PlataformasEnvio             DescripcionFormato
345                                     PlataformasEnvio             EmailEnvioEFactura
346                                     PlataformasEnvio                     Empaquetar
347                                     PlataformasEnvio               EnvioAPlataforma
348                                     PlataformasEnvio                        FaceB2B
349                                     PlataformasEnvio                      FirmarPDF
350                                     PlataformasEnvio                      FirmarXML
351                                     PlataformasEnvio                   FormatoEnvio
352                                     PlataformasEnvio                     GenerarPDF
353                                     PlataformasEnvio                     GenerarXML
354                                     PlataformasEnvio                      IdGuiaXML
355                                     PlataformasEnvio                      MsgAsunto
356                                     PlataformasEnvio                      MsgCuerpo
357                                     PlataformasEnvio                      PaginaWeb
358                                     PlataformasEnvio                  PagoInmediato
359                                     PlataformasEnvio                       Password
360                                     PlataformasEnvio                     PathEnvios
361                                     PlataformasEnvio                   SistemaEnvio
362                                     PlataformasEnvio                      TipoFirma
363                                     PlataformasEnvio              UsuarioPlataforma
364                                  EST_TmpLisAbcCliPro                    RazonSocial
365                                    MovimientosCajaSR                    RazonSocial
366                               PowerBi_ComprasDetalle                    RazonSocial
367                                      EST_Movimientos                    RazonSocial
368                        TemporalRespErrEmprCer2Desemp                    CodigoError
369                                       LcDOCAuditoria                    DOCNombreLc
370                            RelacionComisionistasL100                    RazonSocial
371                                 TraspasoNominaDetEmp            RazonSocialEmpleado
372                                RHH_TemporalPlantilla            RazonSocialEmpleado
373                            CabeceraPedidoCliente_Bak                    RazonSocial
374                            CabeceraPedidoCliente_Bak                   RazonSocial2
375                        RHH_TempDesarrolloProfesional            RazonSocialEmpleado
376                                  EST_MovimientosPeri                    RazonSocial
377                              PowerBi_MovimientoStock                    RazonSocial
378                                       IOF_03xPortada                    RazonSocial
379                      CabeceraAlbaranCliente_05_03_25                    RazonSocial
380                      CabeceraAlbaranCliente_05_03_25                   RazonSocial2
381                      CabeceraAlbaranCliente_05_03_25             RazonSocial2Envios
382                      CabeceraAlbaranCliente_05_03_25              RazonSocialEnvios
383                                    LecturasProveedor                    RazonSocial
384                               Tmp_Imp_GestionErrores                    CodigoError
385                 Vis_LcVw_CabeceraPedidoProveedor_CID                    RazonSocial
386                 Vis_LcVw_CabeceraPedidoProveedor_CID                   RazonSocial2
387                                         FIEEntidades                    RazonSocial
388                  LcVw_PartesTecnicoAbiertosRetenidos                    RazonSocial
389                  LcVw_PartesTecnicoAbiertosRetenidos                   RazonSocial2
390                           Vis_Exp_InformeExpedientes                    RazonSocial
391                           Vis_Exp_InformeExpedientes                   RazonSocial2
392                                    VIS_FormaPagoS100                  CodigoEmpresa
393                                    VIS_FormaPagoS100                      FormaPago
394                                    VIS_FormaPagoS100                    IdFormaPago
395                                    VIS_FormaPagoS100                         Indice
396               Vis_LcVw_AccionesComercialesPorCliente                    RazonSocial
397                             PowerBi_VentasAnaliticas                    RazonSocial
398                  CEN_PowerBI_LineasAlbaranFacturados                    RazonSocial
399                                IOF_03xRepresentantes            RazonSocialEmpleado
400   CEN_PowerBI_LineasAlbaranesFacturadosSinDuplicados                    RazonSocial
401                         VIS_RHN_AEM_DetallePersEntre            RazonSocialEmpleado
402             CEN_PowerBI_LineasAlbaranVentaFacturados                    RazonSocial
403                                    TmpIME_Domicilios                    RazonSocial
404                                    TmpIME_Domicilios                   RazonSocial2
405                                      Clientes_111224                    RazonSocial
406                                      Clientes_111224                   RazonSocial2
407                              Vis_RHH_DatosCandidatos            RazonSocialEmpleado
408                                      MovimientoStock               _AEL_UsuarioAlta
409                                      MovimientoStock           _AEL_UsuarioModifica
410                                      MovimientoStock           AlmacenContrapartida
411                                      MovimientoStock             CalculoPrecioMedio
412                                      MovimientoStock                  CodigoAlmacen
413                                      MovimientoStock                 CodigoArticulo
414                                      MovimientoStock                    CodigoCanal
415                                      MovimientoStock                  CodigoCliente
416                                      MovimientoStock                   CodigoColor_
417                                      MovimientoStock                  CodigoEmpresa
418                                      MovimientoStock                CodigoProveedor
419                                      MovimientoStock                 CodigoTalla01_
420                                      MovimientoStock                     Comentario
421                                      MovimientoStock               DC_CosteTteArtUd
422                                      MovimientoStock                   DC_PMTte_fin
423                                      MovimientoStock                   DC_PMTte_ini
424                                      MovimientoStock                      Documento
425                                      MovimientoStock                      Ejercicio
426                                      MovimientoStock             EjercicioDocumento
427                                      MovimientoStock                  EmpresaOrigen
428                                      MovimientoStock              FactorConversion_
429                                      MovimientoStock                          Fecha
430                                      MovimientoStock                    FechaCaduca
431                                      MovimientoStock                  FechaRegistro
432                                      MovimientoStock                    GrupoTalla_
433                                      MovimientoStock                        Importe
434                                      MovimientoStock                   ImporteCoste
435                                      MovimientoStock                     MovConsumo
436                                      MovimientoStock               MovIdentificador
437                                      MovimientoStock                      MovOrigen
438                                      MovimientoStock                    MovPosicion
439                                      MovimientoStock                    MovTraspaso
440                                      MovimientoStock                  NumeroSerieLc
441                                      MovimientoStock               OrigenMovimiento
442                                      MovimientoStock                        Partida
443                                      MovimientoStock                      Partida2_
444                                      MovimientoStock                        Periodo
445                                      MovimientoStock                         Precio
446                                      MovimientoStock                    PrecioMedio
447                                      MovimientoStock                        Proceso
448                                      MovimientoStock                          Serie
449                                      MovimientoStock                StatusAcumulado
450                                      MovimientoStock                 sysTraspasoLWG
451                                      MovimientoStock                 TipoMovimiento
452                                      MovimientoStock                      Ubicacion
453                                      MovimientoStock                  UnidadEntrada
454                                      MovimientoStock                       Unidades
455                                      MovimientoStock                     Unidades2_
456                                      MovimientoStock                 UnidadMedida1_
457                                      MovimientoStock                 UnidadMedida2_
458                                      MovimientoStock                    UnidadStock
459                                      MovimientoStock                 UsuarioProceso
460                           Vis_Co_RegistroSalarialEmp            RazonSocialEmpleado
461                                LcVw_ListadoProyectos                    RazonSocial
462                                LcVw_ListadoProyectos                   RazonSocial2
463                        TemporalRespErrEmpresaCertif2                    CodigoError
464                                   EXP_TmpRendimiento                    RazonSocial
465                                  VIS_CEN_LinAlbFacSD                    RazonSocial
466                       LcVw_ListadoProyectosRevisados                    RazonSocial
467                       LcVw_ListadoProyectosRevisados                   RazonSocial2
468                    Vis_LcVw_OperacionesNuevasOfertas                    RazonSocial
469                            TemporalNOMMntoRetenidoSS            RazonSocialEmpleado
470                               NOM_Reformateo190_2024                         ClaveA
471                               NOM_Reformateo190_2024                         ClaveB
472                               NOM_Reformateo190_2024                         ClaveE
473                               NOM_Reformateo190_2024                         ClaveG
474                               NOM_Reformateo190_2024                         ClaveI
475                               NOM_Reformateo190_2024                         ClaveK
476                               NOM_Reformateo190_2024                         ClaveL
477                               NOM_Reformateo190_2024                  CodigoEmpresa
478                               NOM_Reformateo190_2024               CodigoTerritorio
479                               NOM_Reformateo190_2024                      Ejercicio
480                               NOM_Reformateo190_2024          ExcluirProcesoEmpresa
481                               NOM_Reformateo190_2024                     sysVersion
482                                     LcProyectosCola_                    RazonSocial
483                                     LcProyectosCola_                   RazonSocial2
484                            Vis_S100_Rat_CapPermanent                          CANAL
485                            Vis_S100_Rat_CapPermanent                    CODIGOCANAL
486                            Vis_S100_Rat_CapPermanent                  CODIGOEMPRESA
487                            Vis_S100_Rat_CapPermanent                     DELEGACION
488                            Vis_S100_Rat_CapPermanent                      EJERCICIO
489                            Vis_S100_Rat_CapPermanent                   IDDELEGACION
490                            Vis_S100_Rat_CapPermanent                  NUMEROPERIODO
491                            Vis_S100_Rat_CapPermanent                  SALDOCONTABLE
492                            Vis_S100_Rat_CapPermanent                   SALDOPERIODO
493                            Vis_S100_Rat_CapPermanent                   TEXTOPERIODO
494                           Vis_Co_RegSalarialEmpCptos            RazonSocialEmpleado
495                     LcVw_ProyectosRiesgosIncidencias                    RazonSocial
496                  LcVw_ProyectosRiesgosIncidenciasRev                    RazonSocial
497                        Vis_Co_tmp_RegSalarialsexoEmp            RazonSocialEmpleado
498                        LcVw_RecursosPorProyectoTarea                    RazonSocial
499                       Vis_S100_AcumuladosTerceCanDel                    RazonSocial
500                                   ClienteProvisiones                    RazonSocial
501                          CabeceraPedidoProveedor_Bak               _AEL_txtErrorAPI
502                          CabeceraPedidoProveedor_Bak                    RazonSocial
503                          CabeceraPedidoProveedor_Bak                   RazonSocial2
504                                     eFacturasCompras                    RazonSocial
505                           VIS_AEAT3_ResumenClienteII                    RazonSocial
506                            TmpIME_ImportConciertoCat            RazonSocialEmpleado
507                                  TemporalNOMDPCabAux            RazonSocialEmpleado
508                         Vis_Co_tmp_RegSalsexoEmpCpto            RazonSocialEmpleado
509                          Vis_S100_AcumuladosTerceros                    RAZONSOCIAL
510                                     PedidoClienteXml            ErrorImportacionXML
511                                     PedidoClienteXml                    RazonSocial
