                                             TABLE_NAME            COLUMN_NAME
280                    LcVw_ListadoImputacionesTecnicos           RazonSocial2
281                            TemporalNOMEmpleadoDatos    RazonSocialEmpleado
282                                       TmpIME_Cargos    RazonSocialEmpleado
283                                        pwb_Forecast               Cantidad
284                           TemporalNOMInfCerEmpCeses    RazonSocialEmpleado
285                                       EstadisCompra               Unidades
286                                        Personas_Bak    RazonSocialEmpleado
287                                       DesgloseLote_               Unidades
288                                         FacturasSII            RazonSocial
289                                         FacturasSII    RazonSocialSucedida
290                             ExpedienteTareaSuplidos               Unidades
291                                  Vis_SumCosteAlbAna               Unidades
292                             TemporalNomContratosATD    RazonSocialEmpleado
293                        Vis_PackingListEdi_Contenido               Unidades
294                  HistoricoPlanLineasContratoCliente               Unidades
295                        RHH_TemporalTraspasoMarcajes    RazonSocialEmpleado
296                               IOF_Telematico_Avisos    IOFDescripcionError
297                                 clientes_09_04_2025            RazonSocial
298                                 clientes_09_04_2025           RazonSocial2
299                        Vis_PedidoProveedor_UnCompra               Unidades
300                                  LcVw_PartesEnCurso            RazonSocial
301                                  LcVw_PartesEnCurso           RazonSocial2
302                        CabeceraAlbaranProveedor_Bak            RazonSocial
303                        CabeceraAlbaranProveedor_Bak           RazonSocial2
304                          VIS_FACR_Ejercicio_Pagadas               unidades
305                        Vis_PedidoProveedor_UnComPRJ               Unidades
306                              LineasAlbaranProveedor               Unidades
307                                  TemporalNOMTalones    RazonSocialEmpleado
308                     LcVw_PartesFacturadosNoCobrados            RazonSocial
309                     LcVw_PartesFacturadosNoCobrados               Unidades
310                         VIS_FACR_EJERCICIO_PAGPLAZO               unidades
311                                     EmpresasSageOne     RazonSocialSageOne
312                        TemporalNomEntradaAbsentismo    RazonSocialEmpleado
313                        Vis_PedidoProveedor_UnComCAP               Unidades
314                                         INR_Portada    RazonSocialEmpleado
315                                 TemporalNOMRedafien    RazonSocialEmpleado
316                                        PackingList_               Unidades
317             LcVw_ProximosVencimientosCliente_AccAdm            RazonSocial
318                                       EstadisVenta_               Unidades
319                                            Personas    RazonSocialEmpleado
320                              eFacturasComprasLineas               Unidades
321                                     IOF_Cabecera345            RazonSocial
322                                            Clientes            RazonSocial
323                                            Clientes           RazonSocial2
324                                       IOF_SocTmpTFI    RazonSocialEmpleado
325                                     pwb_OfertaVenta               Unidades
326                          LcVw_psvListado_Partes_psv            RazonSocial
327                                 RHHTemporalEmpleado    RazonSocialEmpleado
328                            LcLineasPresupuestoParte               Unidades
329                          Vis_EnlaceAlbaranPedidoXML            RazonSocial
330                                CPLiquidacionTotales            RazonSocial
331                          HistoricoEmpresaCertifica2       DescripcionError
332                               pwb_OfertaVentaPedido               Unidades
333                              TemporalNomCertificado    RazonSocialEmpleado
