CodigoArticulo;StockActual;CodigoAlmacen;PrecioMedio;FechaUltimaEntrada;FechaUltimaSalida
TOR-HD2,5;720.0000000000;001;0.1738000000;;
TOR-HD2,5-GOM;1296.0000000000;001;0.2078000000;;
TOR-L-INF;2933.0000000000;001;0.0083000000;;
TOR-L-NEG;676.0000000000;001;0.0100000000;;
TOR-M1.6X5;921.0000000000;001;0.0425000000;;
TOR-M3X10-I;942.0000000000;001;0E-10;;
TOR-M3X10-L;200.0000000000;001;0.0238000000;;
TOR-M3X8-I;2000.0000000000;001;0.0130000000;;
TOR-M3X8-N;1406.0000000000;001;0.0167484269;2025-06-04 00:00:00;
TOR-M6-30MM/00;4.0000000000;001;0.5160000000;2025-01-13 00:00:00;
TOR-MALETA1;371.0000000000;001;0.0149000000;;
TOR-MALETA2;924.0000000000;001;0.0116000000;;
TOR-MINI-CAB-IN;785.0000000000;001;0.0100000000;;
TORRETA-HH-12;283.0000000000;001;0.2245000000;;
TORRETA-HH-20;2.0000000000;001;0.0100000000;;
TORRETA-HH-30;125.0000000000;001;0.3800000000;;
TORRETA-HH-40;62.0000000000;001;0.3900000000;;
TORRETA-MH-08;330.0000000000;001;0.0779000000;;
TORRETA-MH-20;327.0000000000;001;0.1125000000;;
TORRETA-MH-25;1.0000000000;001;0.3390000000;;
TORRETA-MH-30;54.0000000000;001;0.1638211874;2025-09-18 00:00:00;2025-11-06 00:00:00
TORRETA-MH-35;236.0000000000;001;0.3622000000;;
TORR-MH-4X25;4.0000000000;001;0.4859000000;;
TORR-MH-4X35;3.0000000000;001;0.7378000000;;
TORR-MH-M4X15-N;30.0000000000;001;0.0592000000;;
TOR-THOR;2348.0000000000;001;0.0280000000;;
TOR-T-M4X12;33.0000000000;001;0.0392000000;;
TOR-T-M4X6;992.0000000000;001;0.0348000000;;
TP-10;438.0000000000;001;0.0348663696;2025-02-19 00:00:00;2025-08-29 00:00:00
TP-12;5.0000000000;001;0.0683000000;;2025-08-29 00:00:00
TP-13;900.0000000000;001;0.0696000000;;
TP-15;192.0000000000;001;0.0644000000;;
TP-15(BK);2090.0000000000;001;0.0540000000;;
TP-16;300.0000000000;001;0.0438593827;2025-02-19 00:00:00;2025-08-29 00:00:00
TP-18;1555.0000000000;001;0.0783000000;;2025-08-29 00:00:00
TP2.5-12;150.0000000000;001;0.0840000000;;
TP2.5-17;1000.0000000000;001;0.0821000000;;
TP2.5-20;900.0000000000;001;0.0859000000;;
TP2.5-22;900.0000000000;001;0.0824000000;;
TP2.5-23;815.0000000000;001;0.0623000000;;
TP2.5-6;600.0000000000;001;0.0573000000;;
TP-20;718.0000000000;001;0.0550123042;2025-10-15 00:00:00;2025-10-15 00:00:00
TP2-10;1001.0000000000;001;0.0630000000;;
TP-25;1250.0000000000;001;0.0849000000;;2025-08-29 00:00:00
TP2-5;6.0000000000;001;0.0611000000;;
TP-30;750.0000000000;001;0.0510261538;2025-11-12 00:00:00;2025-12-10 00:00:00
TP-35;750.0000000000;001;0.0538600000;2025-06-16 00:00:00;2025-12-10 00:00:00
TP4-10;400.0000000000;001;0.0340800000;2025-02-19 00:00:00;2025-02-21 00:00:00
TP4-12;400.0000000000;001;0.0350600000;2025-02-19 00:00:00;2025-02-21 00:00:00
TP4-15;0E-10;001;0.0727000000;;2025-11-13 00:00:00
TP4-16;400.0000000000;001;0.0370000000;2025-02-19 00:00:00;2025-02-21 00:00:00
TP4-20;1765.0000000000;001;0.0532865566;2025-06-16 00:00:00;2025-05-07 00:00:00
TP4-30;750.0000000000;001;0.1136000000;;2025-05-07 00:00:00
TP-45;850.0000000000;001;0.0583500000;2025-06-16 00:00:00;2025-06-16 00:00:00
TP4-5;2250.0000000000;001;0.0360300000;2025-04-24 00:00:00;2025-05-07 00:00:00
TP4-6;1010.0000000000;001;0.0296820896;2025-06-16 00:00:00;
TP4-7;2400.0000000000;001;0.0379800000;2025-04-24 00:00:00;2025-04-24 00:00:00
TP4-8;13.0000000000;001;0.0010000000;;
TP-5;959.0000000000;001;0.0387000000;;2025-08-29 00:00:00
TP-6;450.0000000000;001;0.0365877676;;2025-08-29 00:00:00
TP-6S;12.0000000000;001;0.0641000000;;
TP-8;905.0000000000;001;0.0294796806;2025-06-16 00:00:00;2025-06-16 00:00:00
TP-9;690.0000000000;001;0.0443000000;;2025-08-29 00:00:00
TPS-15;4.0000000000;001;0.0479000000;;
TPS632-6;17.0000000000;001;0.0641000000;;
TRAN-2N7002;9.0000000000;001;0.1507000000;;
TRAN-2N7002DW;35.0000000000;001;0.2970000000;;
TRAN-AVB1.5;1.0000000000;001;7.0400000000;;
TRAN-SBC817;60.0000000000;001;0.2288000000;;
TRANSPORTE PRUEBA;41.0000000000;001;36.0000000000;;
TRAN-ULN2003-1;18.0000000000;001;0.3652000000;;
TR-ENW-9503A;1.0000000000;001;4.3000000000;;
TRK-24;10.0000000000;001;0.0429000000;;
TR-MOD- QSFP28/10;0E-10;001;233.0094736842;2025-12-10 00:00:00;2025-12-18 00:00:00
TR-MPCI-2915ABG;1.0000000000;001;29.0000000000;;
TR-MPCI-850R;16.0000000000;001;9.6879000000;;
TR-MPCIE-574D2;1.0000000000;001;75.4700000000;;
TR-MPCIE-CQDA2;0E-10;001;579.5515625000;2025-12-10 00:00:00;2025-12-18 00:00:00
TR-PCI-10/100;3.0000000000;001;4.8681000000;;
TR-PCI-10/100-D;5.0000000000;001;74.0000000000;;
TR-PCI-100M-4P;1.0000000000;001;95.3462000000;;
TR-PCIE1X-GBE;1.0000000000;001;8.5344666667;;
TR-PCI-GE-01;1.0000000000;001;7.8560000000;;
TSC-18;10.0000000000;001;0.0396000000;;
TSC-20;10.0000000000;001;0.0297000000;;
TSC-28V0;10.0000000000;001;0.0275000000;;
TSC-38;10.0000000000;001;0.0264000000;;
TSC-40;1010.0000000000;001;0.0248000000;;
TS-SFI-XTREME;1.0000000000;001;28.8950000000;;
TUE-M6-REM/00;34.0000000000;001;0.0990000000;2025-01-14 00:00:00;
TUERCA-M2,5;4262.0000000000;001;0.0040000000;;
TUERCA-M5;14.0000000000;001;0.0010000000;;
TW-120PPSZ;4.0000000000;001;0.0194000000;;
TW-123N;5.0000000000;001;0.0182000000;;
TW-131;15.0000000000;001;0.0264000000;;
TW-14;1000.0000000000;001;0.0149000000;;
TW-147PPS;4.0000000000;001;0.0208000000;;
TW-156;280.0000000000;001;0.0153000000;;
TW-178NGV0B;10.0000000000;001;0.0380000000;;
TW-62;2004.0000000000;001;0.0138000000;;
TW-71N46;4.0000000000;001;0.0293000000;;
U-5;5.0000000000;001;0.0286000000;;
UL10071601;2291.6250000000;001;0.2493217577;;2025-10-24 00:00:00
UL10071602;1521.2200000000;001;0.2546622792;;2025-10-03 00:00:00
UL10071605;2701.6000000000;001;0.2616388361;;
UL10071606;1339.9600000000;001;0.2600000000;;
UL10071607;1089.1990000000;001;0.2540000000;;2025-12-23 00:00:00
UL10071608;463.9460000000;001;0.2670031105;;2025-12-23 00:00:00
UL10071610;2518.7150000000;001;0.2791070509;2025-07-08 00:00:00;2025-12-23 00:00:00
UL10071615;2155.2400000000;001;0.3656000000;;2025-11-24 00:00:00
UL10071801;1779.8650000000;001;0.2079916870;2025-06-10 00:00:00;2025-12-18 00:00:00
UL10071801SL;0E-10;001;0.3897860962;2025-10-10 00:00:00;2025-10-13 00:00:00
UL10071802;3329.8750000000;001;0.1895265107;2025-06-10 00:00:00;2025-12-18 00:00:00
UL10071803;160.0000000000;001;0.1410000000;;
UL10071804;1585.2000000000;001;0.1410000000;;
UL10071805;1772.0000000000;001;0.2016000000;;
UL10071806;226.3500000000;001;0.1916000000;;2025-12-18 00:00:00
UL10071806SL;0E-10;001;0.3897860962;2025-10-10 00:00:00;2025-10-13 00:00:00
UL10071808;1620.1600000000;001;0.2000000000;;2025-11-21 00:00:00
UL10071808SL;0E-10;001;0.3897860962;2025-10-10 00:00:00;2025-10-13 00:00:00
UL10071809;954.7000000000;001;0.1830000000;;2025-12-18 00:00:00
UL10071810;3817.2690000000;001;0.2040104444;2025-06-19 00:00:00;2025-12-23 00:00:00
UL10071815;1703.0355000000;001;0.2027697295;2025-06-10 00:00:00;2025-12-18 00:00:00
UL10072001;3632.7500000000;001;0.1372107649;2025-01-17 00:00:00;2025-12-02 00:00:00
UL10072002;3711.7420000000;001;0.1409345132;2025-06-19 00:00:00;2025-12-12 00:00:00
UL10072003;3752.1000000000;001;0.1410023419;2025-01-17 00:00:00;2025-12-01 00:00:00
UL10072004;3576.4600000000;001;0.1390936228;2025-02-17 00:00:00;2025-12-02 00:00:00
UL10072005;3823.5500000000;001;0.1357437546;;2025-12-01 00:00:00
UL10072006;3145.9000000000;001;0.1401149022;2025-01-17 00:00:00;2025-12-02 00:00:00
UL10072007;3972.5000000000;001;0.1397473963;2025-12-16 00:00:00;2025-12-02 00:00:00
UL10072009;2756.2750000000;001;0.1407629207;2025-06-19 00:00:00;2025-09-30 00:00:00
UL10072010;3940.2820000000;001;0.1407822235;2025-12-16 00:00:00;2025-12-12 00:00:00
UL10072015;2565.4400000000;001;0.1290315315;;2025-11-05 00:00:00
UL10072201;2104.4500000000;001;0.1200000000;;2025-10-09 00:00:00
UL10072202;1153.7000000000;001;0.1199528332;;2025-12-18 00:00:00
UL10072203;0E-10;001;0.1200000000;2025-09-08 00:00:00;2025-10-16 00:00:00
UL10072204;6174.6500000000;001;0.0898557692;;2025-10-09 00:00:00
UL10072205;4888.3500000000;001;0.0763377789;;2025-12-11 00:00:00
UL10072206;1986.0500000000;001;0.0710000000;;
UL10072209;2082.3500000000;001;0.1037741228;;2025-12-11 00:00:00
UL10072210;338.3200000000;001;0.1119147188;;2025-12-18 00:00:00
UL10072401;4123.4112000000;001;0.0828387857;2025-01-24 00:00:00;2025-10-31 00:00:00
UL10072402;5842.7029666667;001;0.0830026393;2025-09-08 00:00:00;2025-12-18 00:00:00
UL10072403;5596.7978666667;001;0.0817701068;2025-06-10 00:00:00;2025-10-31 00:00:00
UL10072404;5804.3290666667;001;0.0831851124;2025-12-09 00:00:00;2025-12-16 00:00:00
UL10072405;5281.6905666667;001;0.0830281879;2025-08-22 00:00:00;2025-12-16 00:00:00
UL10072406;4304.5212000000;001;0.0824043709;2025-04-11 00:00:00;2025-12-16 00:00:00
UL10072407;3978.2412000000;001;0.0853970613;;2025-12-26 00:00:00
UL10072408;3736.0652000000;001;0.0832738520;2025-04-02 00:00:00;2025-12-16 00:00:00
UL10072409;4990.4372000000;001;0.0782374878;2025-06-10 00:00:00;2025-12-16 00:00:00
UL10072410;7981.1567000000;001;0.0829968903;2025-12-09 00:00:00;2025-12-18 00:00:00
UL10072411;5814.1000000000;001;0.0720885264;;
UL10151415;162.5000000000;001;0.3700000000;;
UL10151602;91.0000000000;001;0.2290000000;;
UL10151606;1830.0000000000;001;0.3180000000;2025-02-17 00:00:00;
UL10151615;1523.0500000000;001;0.3180000000;2025-06-10 00:00:00;
UL10152202;3164.0000000000;001;0.0840000000;;
UL10152206;3028.0000000000;001;0.0840000000;;
UL10152210;3040.0000000000;001;0.0840000000;;
UL10612601;3287.3600000000;001;0.0575000000;;2025-12-29 00:00:00
UL10612602;6070.9620000000;001;0.0731570630;;2025-12-18 00:00:00
UL10612603;4335.4000000000;001;0.0575000000;;
